Date,All,Alcova ES,Alford ES,Anderson-Livsey ES,Annistown ES,Arcado ES,Archer HS,Baggett ES,Baldwin ES,Bay Creek MS,Beaver Ridge ES,Benefield ES,Berkeley Lake ES,Berkmar HS,Berkmar MS,Bethesda ES,Britt ES,Brookwood ES,Brookwood HS,Buice Center,Burnette ES,Camp Creek ES,Cedar Hill ES,Centerville ES,Central Gwinnett HS,Chattahoochee ES,Chesney ES,Coleman MS,Collins Hill HS,Cooper ES,Corley ES,Couch MS,Craig ES,Creekland MS,Crews MS,Dacula ES,Dacula HS,Dacula MS,Discovery HS,Duluth HS,Duluth MS,Duncan Creek ES,Dyer ES,Ferguson ES,Five Forks MS,Fort Daniel ES,Freeman's Mill ES,GIVE East,GIVE West,Grace Snell MS,Graves ES,Grayson ES,Grayson HS,Gwin Oaks ES,Gwinnett Online Campus,"Gwinnett School of Mathematics, Science and Technology",Harbins ES,Harmony ES,Harris ES,Head ES,Hopkins ES,Hull MS,International Transition Center,Ivy Creek ES,Jackson ES,Jenkins ES,Jones MS,Jordan MS,Kanoheda ES,Knight ES,Lanier HS,Lanier MS,Lawrenceville ES,Level Creek ES,Lilburn ES,Lilburn MS,Lovin ES,Magill ES,Mason ES,Maxwell HS of Technology,McClure Health Science HS,McConnell MS,McKendree ES,Meadowcreek ES,Meadowcreek HS,Mill Creek HS,Minor ES,Moore MS,Mountain Park ES,Mountain View HS,Mulberry ES,Nesbit ES,Norcross ES,Norcross HS,North Gwinnett HS,North Gwinnett MS,Northbrook MS,Norton ES,Oakland Meadow School,Osborne MS,Parkview HS,Parsons ES,Partee ES,Patrick ES,Paul Duke STEM HS,Peachtree ES,Peachtree Ridge HS,Pharr ES,Phoenix HS,Pinckneyville MS,Puckett's Mill ES,Radloff MS,Richards MS,Riverside ES,Roberts ES,Rock Springs ES,Rockbridge ES,Rosebud ES,Shiloh ES,Shiloh HS,Shiloh MS,Simonton ES,Simpson ES,Snellville MS,South Gwinnett HS,Starling ES,Stripling ES,Sugar Hill ES,Summerour MS,Suwanee ES,Sweetwater MS,Sycamore ES,Taylor ES,Trickum MS,Trip ES,Twin Rivers MS,Walnut Grove ES,White Oak ES,Winn Holt ES,Woodward Mill ES,
8/18/2020,230,0,0,0,1,2,2,1,1,0,3,0,2,4,0,2,0,1,1,3,1,3,0,0,0,0,0,0,3,4,1,1,1,0,6,2,1,2,1,16,1,3,0,1,0,3,0,0,0,2,2,2,4,1,0,0,1,0,0,0,3,0,0,3,0,8,2,4,2,3,0,0,0,0,1,7,0,0,2,0,0,0,1,1,7,4,0,1,0,0,2,2,0,2,0,2,4,0,2,2,8,0,1,1,0,0,3,0,0,0,2,0,4,2,0,3,0,0,8,3,0,1,4,1,0,1,0,2,4,0,3,0,0,0,0,3,1,0,23,2,
8/19/2020,222,0,0,1,1,2,2,1,0,0,4,0,2,4,0,2,1,1,0,3,1,3,1,0,0,0,0,0,5,5,0,0,1,0,6,2,1,2,2,13,1,2,0,1,0,0,0,0,0,1,0,3,4,1,0,0,1,0,0,0,2,0,0,1,0,8,0,8,2,2,0,0,0,0,1,4,0,0,2,0,0,0,0,1,8,4,0,1,0,0,2,2,0,2,0,2,4,0,2,3,9,0,2,0,0,1,4,0,0,0,2,0,4,2,0,4,0,0,3,1,0,1,4,1,0,1,1,1,4,0,3,0,0,0,0,3,1,0,24,5,
8/20/2020,238,3,0,1,1,2,3,1,0,0,4,0,2,5,0,2,1,1,0,3,1,4,3,0,0,0,0,0,5,5,0,0,0,0,5,2,0,3,3,15,1,2,1,1,0,0,2,0,0,2,0,3,3,1,0,0,2,0,0,0,2,0,0,1,0,8,0,8,3,2,0,0,0,0,1,4,0,0,3,0,0,0,0,1,8,4,2,1,0,0,2,1,0,3,1,3,3,0,2,4,10,0,2,0,0,1,4,0,0,0,2,0,4,2,0,3,0,0,3,0,0,1,0,1,0,0,2,1,5,0,3,0,0,0,0,5,1,0,25,3,
8/21/2020,250,1,0,1,1,2,4,2,0,0,4,0,1,5,0,3,1,1,0,3,1,4,3,0,0,0,0,0,5,4,0,0,0,2,1,2,0,3,3,11,1,2,1,2,0,0,2,1,0,3,1,3,3,0,0,0,4,0,1,0,2,1,0,2,0,8,0,9,3,2,2,0,0,0,2,3,0,1,3,0,0,0,0,1,10,4,2,0,0,1,6,1,0,4,1,3,1,0,2,4,11,0,1,0,0,2,4,6,0,0,3,0,1,1,0,3,0,0,1,0,0,1,0,1,0,0,3,2,4,0,2,0,0,0,0,5,1,0,25,3,
8/24/2020,211,1,0,0,1,1,3,2,0,0,3,0,0,2,0,2,1,1,0,2,1,2,3,1,0,0,0,0,3,2,0,0,0,2,0,2,0,2,2,11,2,2,1,2,0,0,2,3,0,2,1,3,1,0,0,0,3,0,1,0,1,1,0,2,0,7,0,8,3,1,2,0,0,0,1,4,0,6,1,1,0,0,0,0,8,3,2,0,0,1,6,1,0,4,1,3,2,1,1,3,9,0,1,0,0,3,2,6,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,2,1,0,3,1,2,0,1,0,1,0,0,1,1,0,21,4,
8/25/2020,226,1,0,1,1,1,4,2,0,1,1,0,0,2,0,2,0,1,2,3,1,1,3,1,0,0,0,0,2,1,0,0,0,2,0,2,0,2,4,11,1,2,1,2,0,0,2,3,0,2,2,2,0,0,0,0,4,0,1,0,1,3,0,3,0,7,0,10,3,1,1,0,0,0,1,5,0,6,1,1,0,0,0,1,8,3,2,0,0,1,8,1,0,4,1,2,2,2,5,3,7,0,1,0,0,3,2,6,1,1,1,0,1,0,0,2,0,0,0,2,0,1,0,2,2,0,3,1,3,0,2,0,1,0,0,1,1,0,18,4,
8/26/2020,237,1,0,1,1,1,4,5,0,1,0,0,0,3,0,2,0,1,3,3,0,1,3,1,0,0,0,0,2,1,0,0,0,2,1,2,0,2,3,9,2,2,1,2,0,0,2,3,0,2,2,3,0,0,0,0,7,0,1,0,1,3,0,3,0,0,4,10,3,1,0,0,0,0,2,6,0,6,1,1,0,0,0,2,8,4,2,0,0,0,8,1,4,5,1,2,1,2,6,3,7,0,1,0,0,3,2,7,1,1,1,0,1,0,0,2,2,1,3,2,0,1,0,2,2,0,3,1,3,0,2,0,1,0,0,1,1,0,12,4,
8/27/2020,353,2,2,1,1,1,4,5,0,3,0,0,3,7,0,2,0,1,4,3,0,1,3,1,2,5,0,0,2,3,0,1,0,4,1,2,0,2,3,13,2,9,2,2,1,1,2,3,3,4,2,1,0,4,1,0,8,0,1,2,1,3,0,3,1,0,5,10,1,0,3,0,0,0,2,8,0,6,1,1,1,0,0,2,9,2,3,0,0,6,9,0,4,6,5,1,1,2,6,2,8,0,1,0,0,6,2,7,1,2,6,0,2,0,1,2,2,1,4,29,0,1,0,2,2,0,4,1,3,0,2,2,1,1,1,0,2,1,16,6,
8/28/2020,399,4,2,1,2,1,4,5,0,3,0,5,3,8,0,2,0,1,4,14,0,1,3,1,2,6,0,0,2,3,0,1,0,5,1,2,0,2,3,15,8,10,5,2,1,1,4,3,3,4,3,1,0,4,1,0,8,0,1,2,1,3,0,4,1,0,5,10,3,1,4,0,0,0,2,10,0,5,1,1,1,0,0,2,8,2,3,1,0,6,10,0,4,4,6,1,1,2,6,1,5,0,1,0,0,6,3,7,1,2,6,0,2,0,1,3,2,1,5,30,0,1,0,2,3,0,4,1,3,0,2,3,1,1,1,0,2,1,19,4,
8/31/2020,507,3,4,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
